Barcode,Difference
s_008um_00334_00448-1,0
s_008um_00441_00675-1,0
s_008um_00431_00553-1,0
s_008um_00462_00583-1,0
s_008um_00261_00300-1,0
s_008um_00593_00544-1,0
s_008um_00304_00674-1,0
s_008um_00197_00555-1,0
s_008um_00252_00557-1,0
s_008um_00258_00673-1,0
s_008um_00250_00364-1,0
s_008um_00473_00412-1,0
s_008um_00517_00531-1,0
s_008um_00253_00803-1,0
s_008um_00205_00239-1,0
s_008um_00069_00601-1,0
s_008um_00370_00481-1,0
s_008um_00114_00425-1,0
s_008um_00174_00369-1,0
s_008um_00292_00727-1,0
s_008um_00451_00208-1,0
s_008um_00371_00123-1,0
s_008um_00252_00707-1,0
s_008um_00237_00648-1,0
s_008um_00079_00565-1,0
s_008um_00283_00612-1,0
s_008um_00143_00385-1,0
s_008um_00213_00344-1,0
s_008um_00603_00495-1,0
s_008um_00416_00733-1,0
s_008um_00132_00218-1,0
s_008um_00115_00535-1,0
s_008um_00025_00262-1,0
s_008um_00319_00100-1,0
s_008um_00351_00755-1,0
s_008um_00078_00618-1,0
s_008um_00578_00499-1,0
s_008um_00582_00522-1,0
s_008um_00318_00548-1,0
s_008um_00218_00480-1,0
s_008um_00256_00247-1,0
s_008um_00303_00174-1,0
s_008um_00326_00699-1,0
s_008um_00396_00379-1,0
s_008um_00329_00605-1,0
s_008um_00178_00308-1,0
s_008um_00245_00509-1,0
s_008um_00399_00573-1,0
s_008um_00086_00319-1,0
s_008um_00535_00261-1,0
s_008um_00179_00373-1,0
s_008um_00351_00784-1,0
s_008um_00409_00418-1,0
s_008um_00215_00489-1,0
s_008um_00274_00669-1,0
s_008um_00321_00554-1,0
s_008um_00236_00534-1,0
s_008um_00231_00160-1,0
s_008um_00499_00697-1,0
s_008um_00387_00670-1,0
s_008um_00142_00424-1,0
s_008um_00583_00397-1,0
s_008um_00240_00578-1,0
s_008um_00220_00285-1,0
s_008um_00222_00670-1,0
s_008um_00533_00503-1,0
s_008um_00511_00553-1,0
s_008um_00522_00244-1,0
s_008um_00170_00572-1,0
s_008um_00449_00545-1,0
s_008um_00205_00590-1,0
s_008um_00542_00373-1,0
s_008um_00440_00624-1,0
s_008um_00131_00541-1,0
s_008um_00291_00302-1,0
s_008um_00323_00362-1,0
s_008um_00596_00415-1,0
s_008um_00391_00669-1,0
s_008um_00113_00604-1,0
s_008um_00352_00452-1,0
s_008um_00373_00782-1,0
s_008um_00538_00658-1,0
s_008um_00565_00483-1,0
s_008um_00405_00372-1,0
s_008um_00133_00279-1,0
s_008um_00283_00656-1,0
s_008um_00585_00636-1,0
s_008um_00325_00375-1,0
s_008um_00256_00722-1,0
s_008um_00217_00216-1,0
s_008um_00525_00479-1,0
s_008um_00409_00370-1,0
s_008um_00422_00296-1,0
s_008um_00307_00480-1,0
s_008um_00267_00660-1,0
s_008um_00346_00099-1,0
s_008um_00149_00595-1,0
s_008um_00575_00481-1,0
s_008um_00148_00588-1,0
s_008um_00343_00408-1,0
s_008um_00227_00771-1,0
s_008um_00626_00551-1,0
s_008um_00204_00565-1,0
s_008um_00470_00246-1,0
s_008um_00410_00607-1,0
s_008um_00594_00632-1,0
s_008um_00264_00638-1,0
s_008um_00481_00427-1,0
